system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
15,NZ_CP065318.1,cas_type_V,WP_019253825.1,PDLC01591,mkCas0206,Cas2,9.999999999999998e-56,1.0999999999999998e-55,0.99,0.99,1885734,1886039,+,-,25,39,"PDLC01251,cd09638, 1, 4.6e-21, 0.851, 0.929 | PDLC01649,pfam09827, 1, 1.2e-17, 0.752, 0.986 | PDLC01525,mkCas0128, 1, 5.9e-06, 0.861, 0.9 | PDLC01459,COG3512, 1, 3.4e-34, 0.941, 0.905 | PDLC02071,Cas2_II_WP_086428212.1, 1, 9.8e-32, 0.921, 0.959 | PDLC01751,Cas2c_WP_035173219.1, 1, 3e-04, 0.683, 0.716 | PDLC01443,COG1343, 1, 7.5e-05, 0.802, 0.849 | PDLC00935,cas2, 1, 7.9e-25, 0.891, 0.917 | PDLC02073,Cas2_II_WP_029776276.1, 1, 5.2e-26, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 7.6e-44, 0.911, 0.657 | PDLC01748,Cas2_IIIa_Cas2_IIIa, 1, 1.6e-09, 0.713, 0.739 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.8e-32, 0.653, 0.917 | PDLC02069,Cas2_II_WP_178005650.1, 1, 5.3e-32, 0.871, 0.677 | PDLC01591,mkCas0206, 1, 1.1e-55, 0.99, 0.99","PDLC01591, mkCas0206, 1.1e-55, 0.99, 0.99 | PDLC02068, Cas2_II_WP_167337171.1, 7.6e-44, 0.911, 0.657 | PDLC01459, COG3512, 3.4e-34, 0.941, 0.905 | PDLC02072, Cas2_II_WP_038817100.1, 2.8e-32, 0.653, 0.917 | PDLC02069, Cas2_II_WP_178005650.1, 5.3e-32, 0.871, 0.677"
14,NZ_CP065318.1,cas_type_II-A,WP_019253824.1,PDLC02123,Csn2_WP_164905698.1,Csn2,4.7999999999999993e-88,5.299999999999999e-88,0.991,0.995,1886036,1886707,+,-,26,39,"PDLC02127,Csn2_WP_092199373.1, 1, 1.3e-09, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 2.3e-48, 0.982, 0.995 | PDLC01380,cd12218, 1, 7.7e-79, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 5.3e-88, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2.7e-26, 0.946, 0.941 | PDLC01371,cd09758, 1, 4.7e-05, 0.901, 0.922 | PDLC02139,Csn2_WP_057888294.1, 1, 1.8e-08, 0.946, 0.94 | PDLC01257,cd09644, 1, 1.7e-16, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 2.1e-26, 0.973, 0.968 | PDLC02137,Csn2_WP_092874919.1, 1, 0.00012, 0.973, 0.982 | PDLC02147,Csn2_WP_022791452.1, 1, 6.8e-14, 0.933, 0.923 | PDLC02119,Csn2_WP_115483433.1, 1, 4.5e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1e-53, 0.991, 0.991 | PDLC01180,icity0117, 1, 6.1e-10, 0.933, 0.928 | PDLC01648,pfam09711, 1, 8.9e-07, 0.632, 0.771","PDLC02123, Csn2_WP_164905698.1, 5.3e-88, 0.991, 0.995 | PDLC01380, cd12218, 7.7e-79, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1e-53, 0.991, 0.991 | PDLC01023, cas_Csn2, 2.3e-48, 0.982, 0.995 | PDLC02141, Csn2_WP_150280658.1, 2.1e-26, 0.973, 0.968"
15,NZ_CP065318.1,cas_type_V,WP_019253823.1,PDLC01691,Cas14u,Cas12f,7.5e-52,1e-51,0.964,0.973,1887408,1888571,+,-,27,39,"PDLC01692,V_U1, 1, 6.2, 0.078, 0.058 | PDLC01692,V_U1, 2, 2.7e-18, 0.416, 0.318 | PDLC01698,V_U2, 1, 0.12, 0.093, 0.088 | PDLC01698,V_U2, 2, 1.3e-16, 0.602, 0.521 | PDLC01698,V_U2, 3, 7.7e-14, 0.209, 0.163 | PDLC01672,Cas14a, 1, 3.5, 0.08, 0.064 | PDLC01672,Cas14a, 2, 2.4e-13, 0.579, 0.457 | PDLC01678,Type_V_Cas14c, 1, 6.2e-41, 0.734, 0.663 | PDLC01677,Type_V_Cas14b, 1, 1, 0.114, 0.047 | PDLC01677,Type_V_Cas14b, 2, 4.1e-16, 0.576, 0.419 | PDLC00930,Type_V_V_U1, 1, 9.1, 0.078, 0.056 | PDLC00930,Type_V_V_U1, 2, 2.1e-17, 0.401, 0.295 | PDLC01690,Cas14h, 1, 3.7e-11, 0.747, 0.634 | PDLC01226,Cas14f, 1, 4.7, 0.044, 0.031 | PDLC01226,Cas14f, 2, 3.3e-07, 0.698, 0.528 | PDLC01673,Cas14b, 1, 0.1, 0.287, 0.203 | PDLC01673,Cas14b, 2, 3.4e-16, 0.584, 0.422 | PDLC01674,Cas14c, 1, 6.2e-41, 0.734, 0.663 | PDLC01699,V_U3, 1, 3.6e-22, 0.889, 0.862 | PDLC01691,Cas14u, 1, 1e-51, 0.964, 0.973 | PDLC00932,Type_V_V_U3, 1, 5.3e-23, 0.806, 0.779 | PDLC00933,Type_V_V_U4, 1, 0.0012, 0.111, 0.088 | PDLC00933,Type_V_V_U4, 2, 2.1e-39, 0.734, 0.6 | PDLC00931,Type_V_V_U2, 1, 0.37, 0.09, 0.079 | PDLC00931,Type_V_V_U2, 2, 2.9e-18, 0.561, 0.438 | PDLC00931,Type_V_V_U2, 3, 2e-17, 0.194, 0.166 | PDLC01700,V_U4, 1, 0.003, 0.109, 0.092 | PDLC01700,V_U4, 2, 1.2e-39, 0.731, 0.64","PDLC01691, Cas14u, 1e-51, 0.964, 0.973 | PDLC01678, Type_V_Cas14c, 6.2e-41, 0.734, 0.663 | PDLC01674, Cas14c, 6.2e-41, 0.734, 0.663 | PDLC01700, V_U4, 1.2e-39, 0.731, 0.64 | PDLC00933, Type_V_V_U4, 2.1e-39, 0.734, 0.6"
16,NZ_CP065522.1,cas_type_other,WP_216284762.1,PDLC01380,cd12218,Csn2,3.2e-79,3.5999999999999996e-79,0.982,0.995,1243043,1243714,-,-,8,30,"PDLC02127,Csn2_WP_092199373.1, 1, 5.8e-08, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 5.6e-39, 0.982, 0.995 | PDLC01380,cd12218, 1, 3.6e-79, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1e-77, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 0.0038, 0.892, 0.882 | PDLC02132,Csn2_WP_007147955.1, 1, 1.2e-21, 0.969, 0.964 | PDLC01371,cd09758, 1, 5.1e-08, 0.906, 0.904 | PDLC02139,Csn2_WP_057888294.1, 1, 3.6e-08, 0.731, 0.695 | PDLC01257,cd09644, 1, 8.8e-13, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 9.4e-18, 0.982, 0.977 | PDLC02147,Csn2_WP_022791452.1, 1, 5.8e-08, 0.892, 0.887 | PDLC02119,Csn2_WP_115483433.1, 1, 2.3e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 4e-45, 0.996, 0.995 | PDLC01180,icity0117, 1, 6.3e-07, 0.888, 0.887 | PDLC01648,pfam09711, 1, 4.4e-08, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 1.4e-09, 0.906, 0.904","PDLC01380, cd12218, 3.6e-79, 0.982, 0.995 | PDLC02123, Csn2_WP_164905698.1, 1e-77, 0.991, 0.995 | PDLC02124, Csn2_WP_017261328.1, 4e-45, 0.996, 0.995 | PDLC01023, cas_Csn2, 5.6e-39, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 1.2e-21, 0.969, 0.964"
16,NZ_CP065522.1,cas_type_other,WP_114806564.1,PDLC01591,mkCas0206,Cas2,1.0999999999999998e-54,1.1999999999999999e-54,0.99,0.99,1243711,1244016,-,-,9,30,"PDLC01251,cd09638, 1, 4e-21, 0.861, 0.94 | PDLC01649,pfam09827, 1, 1.7e-18, 0.752, 0.986 | PDLC01525,mkCas0128, 1, 7.2e-08, 0.881, 0.922 | PDLC02077,Cas2b_WP_028460064.1, 1, 0.0014, 0.812, 0.802 | PDLC01459,COG3512, 1, 1.2e-35, 0.97, 0.933 | PDLC02071,Cas2_II_WP_086428212.1, 1, 4.4e-29, 0.921, 0.969 | PDLC01751,Cas2c_WP_035173219.1, 1, 0.00017, 0.644, 0.674 | PDLC01443,COG1343, 1, 0.00013, 0.752, 0.791 | PDLC00935,cas2, 1, 3.3e-24, 0.921, 0.927 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 1.1e-44, 0.98, 0.701 | PDLC01748,Cas2_IIIa_Cas2_IIIa, 1, 1.7e-10, 0.743, 0.75 | PDLC02072,Cas2_II_WP_038817100.1, 1, 5.7e-32, 0.644, 0.903 | PDLC01338,cd09725, 1, 0.0013, 0.782, 0.921 | PDLC02069,Cas2_II_WP_178005650.1, 1, 8.5e-31, 0.861, 0.669 | PDLC01591,mkCas0206, 1, 1.2e-54, 0.99, 0.99","PDLC01591, mkCas0206, 1.2e-54, 0.99, 0.99 | PDLC02068, Cas2_II_WP_167337171.1, 1.1e-44, 0.98, 0.701 | PDLC01459, COG3512, 1.2e-35, 0.97, 0.933 | PDLC02072, Cas2_II_WP_038817100.1, 5.7e-32, 0.644, 0.903 | PDLC02069, Cas2_II_WP_178005650.1, 8.5e-31, 0.861, 0.669"
16,NZ_CP065522.1,cas_type_other,WP_253196411.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,9.199999999999998e-69,1.0999999999999998e-68,0.826,0.573,1243994,1244722,-,-,10,30,"PDLC02025,Cas1d_Cas1d, 1, 1.4e-11, 0.504, 0.427 | PDLC02062,Cas1_II_WP_122951193.1, 1, 2.8e-12, 0.339, 0.29 | PDLC01747,Cas1g_WP_005511840.1, 1, 5.6e-12, 0.248, 0.115 | PDLC02066,Cas1b_WP_035727688.1, 1, 1.1e-09, 0.55, 0.401 | PDLC02063,Cas1_IIIb_Cas1_IIIb, 1, 2.6e-12, 0.558, 0.245 | PDLC01249,cd09636, 1, 1.1e-17, 0.504, 0.48 | PDLC01449,COG1518, 1, 4.4e-26, 0.744, 0.66 | PDLC01743,Cas1c_WP_008519397.1, 1, 5.1e-09, 0.236, 0.169 | PDLC01743,Cas1c_WP_008519397.1, 2, 19, 0.132, 0.098 | PDLC02064,Cas1a_Cas1a, 1, 9.5e-11, 0.388, 0.35 | PDLC02067,Cas1b_WP_188882336.1, 1, 1.3e-08, 0.277, 0.128 | PDLC01741,Cas1_IIIa_WP_000655858.1, 1, 2.1e-32, 0.587, 0.482 | PDLC01335,cd09722, 1, 2.3e-06, 0.455, 0.378 | PDLC00928,cas1_I_II_III_V_maka, 1, 3.3e-20, 0.554, 0.492 | PDLC00927,cas1, 1, 3.2e-16, 0.413, 0.339 | PDLC01742,Cas1b_WP_142933338.1, 1, 4.6e-05, 0.252, 0.187 | PDLC01248,cd09634, 1, 8.1e-29, 0.702, 0.651 | PDLC00929,cas1_PREFRAN, 1, 8.4e-12, 0.397, 0.322 | PDLC01334,cd09721, 1, 3.9e-09, 0.248, 0.179 | PDLC01334,cd09721, 2, 17, 0.132, 0.101 | PDLC00926,cas1_NMENI, 1, 7.4e-55, 0.736, 0.669 | PDLC01333,cd09720, 1, 1.8e-56, 0.736, 0.663 | PDLC02065,Cas1b_WP_013704840.1, 1, 0.0017, 0.269, 0.198 | PDLC01608,pfam01867, 1, 6.9e-16, 0.376, 0.366 | PDLC00922,cas1_MYXAN, 1, 7.1e-10, 0.269, 0.19 | PDLC02061,Cas1_II_WP_078484493.1, 1, 1.1e-68, 0.826, 0.573 | PDLC00923,cas1_DVULG, 1, 5.2e-09, 0.248, 0.176 | PDLC00923,cas1_DVULG, 2, 15, 0.132, 0.1 | PDLC01740,Cas1_IIIa_WP_158094482.1, 1, 7.7e-09, 0.326, 0.269","PDLC02061, Cas1_II_WP_078484493.1, 1.1e-68, 0.826, 0.573 | PDLC01333, cd09720, 1.8e-56, 0.736, 0.663 | PDLC00926, cas1_NMENI, 7.4e-55, 0.736, 0.669 | PDLC01741, Cas1_IIIa_WP_000655858.1, 2.1e-32, 0.587, 0.482 | PDLC01248, cd09634, 8.1e-29, 0.702, 0.651"
16,NZ_CP065522.1,cas_type_other,WP_253196412.1,PDLC01333,cd09720,Cas1,2.8e-18,3.2e-18,0.766,0.315,1245886,1246221,-,-,13,30,"PDLC02025,Cas1d_Cas1d, 1, 0.00068, 0.586, 0.206 | PDLC02062,Cas1_II_WP_122951193.1, 1, 1.2e-07, 0.486, 0.17 | PDLC01747,Cas1g_WP_005511840.1, 1, 3.6e-05, 0.622, 0.132 | PDLC02066,Cas1b_WP_035727688.1, 1, 5e-09, 0.559, 0.189 | PDLC02063,Cas1_IIIb_Cas1_IIIb, 1, 2.6e-05, 0.622, 0.11 | PDLC01249,cd09636, 1, 8.1e-10, 0.622, 0.276 | PDLC01449,COG1518, 1, 4.5e-14, 0.712, 0.263 | PDLC01743,Cas1c_WP_008519397.1, 1, 4.4e-06, 0.559, 0.181 | PDLC02064,Cas1a_Cas1a, 1, 1.7e-06, 0.568, 0.22 | PDLC02067,Cas1b_WP_188882336.1, 1, 7.9e-05, 0.568, 0.118 | PDLC01744,Cas1e_WP_035839043.1, 1, 0.0049, 0.559, 0.199 | PDLC01741,Cas1_IIIa_WP_000655858.1, 1, 2.4e-07, 0.432, 0.159 | PDLC00928,cas1_I_II_III_V_maka, 1, 7.3e-10, 0.676, 0.238 | PDLC01332,cd09719, 1, 0.00068, 0.523, 0.218 | PDLC01332,cd09719, 2, 16, 0.252, 0.107 | PDLC00927,cas1, 1, 1.8e-09, 0.649, 0.223 | PDLC01185,icity0124, 1, 2.8e-05, 0.586, 0.26 | PDLC01248,cd09634, 1, 2.6e-11, 0.685, 0.253 | PDLC01334,cd09721, 1, 0.00042, 0.459, 0.152 | PDLC00926,cas1_NMENI, 1, 5.2e-18, 0.766, 0.306 | PDLC01333,cd09720, 1, 3.2e-18, 0.766, 0.315 | PDLC01608,pfam01867, 1, 1.8e-09, 0.667, 0.257 | PDLC00922,cas1_MYXAN, 1, 0.0036, 0.604, 0.193 | PDLC02061,Cas1_II_WP_078484493.1, 1, 2e-22, 0.793, 0.254 | PDLC00923,cas1_DVULG, 1, 0.00034, 0.459, 0.15 | PDLC01740,Cas1_IIIa_WP_158094482.1, 1, 5.3e-05, 0.55, 0.178 | PDLC00924,cas1_ECOLI, 1, 0.0043, 0.523, 0.216 | PDLC00924,cas1_ECOLI, 2, 12, 0.27, 0.112","PDLC02061, Cas1_II_WP_078484493.1, 2e-22, 0.793, 0.254 | PDLC01333, cd09720, 3.2e-18, 0.766, 0.315 | PDLC00926, cas1_NMENI, 5.2e-18, 0.766, 0.306 | PDLC01449, COG1518, 4.5e-14, 0.712, 0.263 | PDLC01248, cd09634, 2.6e-11, 0.685, 0.253"
16,NZ_CP065522.1,cas_type_other,WP_253196413.1,PDLC01580,mkCas0193,Cas9,0,0,0.999,0.998,1246416,1250552,-,-,14,30,"PDLC00975,cas9_maka_4_II, 1, 4.1e-127, 0.839, 0.813 | PDLC01460,COG3513, 1, 5.3e-146, 0.816, 0.811 | PDLC01580,mkCas0193, 1, 0, 0.999, 0.998 | PDLC00973,cas_Csn1, 1, 3.1e-182, 0.756, 0.976 | PDLC01104,icity0002, 1, 0.0012, 0.718, 0.58 | PDLC01256,cd09643, 1, 1.3e-168, 0.756, 0.983","PDLC01580, mkCas0193, 0, 0.999, 0.998 | PDLC00973, cas_Csn1, 3.1e-182, 0.756, 0.976 | PDLC01256, cd09643, 1.3e-168, 0.756, 0.983 | PDLC01460, COG3513, 5.3e-146, 0.816, 0.811 | PDLC00975, cas9_maka_4_II, 4.1e-127, 0.839, 0.813"
17,NZ_CP067088.1,cas_type_other,WP_234446804.1,PDLC01580,mkCas0193,Cas9,0,0,0.983,0.815,840813,844244,+,-,18,32,"PDLC00975,cas9_maka_4_II, 1, 5.5e-127, 0.909, 0.708 | PDLC01460,COG3513, 1, 1.3e-146, 0.928, 0.779 | PDLC01580,mkCas0193, 1, 0, 0.983, 0.815 | PDLC00973,cas_Csn1, 1, 1.6e-181, 0.912, 0.976 | PDLC01104,icity0002, 1, 0.0011, 0.563, 0.563 | PDLC01256,cd09643, 1, 9.2e-168, 0.912, 0.983","PDLC01580, mkCas0193, 0, 0.983, 0.815 | PDLC00973, cas_Csn1, 1.6e-181, 0.912, 0.976 | PDLC01256, cd09643, 9.2e-168, 0.912, 0.983 | PDLC01460, COG3513, 1.3e-146, 0.928, 0.779 | PDLC00975, cas9_maka_4_II, 5.5e-127, 0.909, 0.708"
17,NZ_CP067088.1,cas_type_other,WP_200548677.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,4.4999999999999985e-89,4.8999999999999986e-89,0.961,0.779,847637,848485,+,-,22,32,"PDLC02025,Cas1d_Cas1d, 1, 4.7e-16, 0.713, 0.668 | PDLC02062,Cas1_II_WP_122951193.1, 1, 2.3e-17, 0.716, 0.707 | PDLC01747,Cas1g_WP_005511840.1, 1, 6.3e-16, 0.716, 0.419 | PDLC02066,Cas1b_WP_035727688.1, 1, 1.7e-07, 0.202, 0.174 | PDLC02066,Cas1b_WP_035727688.1, 2, 2.4e-09, 0.518, 0.447 | PDLC02063,Cas1_IIIb_Cas1_IIIb, 1, 4.4e-19, 0.706, 0.339 | PDLC01249,cd09636, 1, 8.1e-27, 0.723, 0.87 | PDLC01449,COG1518, 1, 7.6e-39, 0.915, 0.93 | PDLC01743,Cas1c_WP_008519397.1, 1, 9e-05, 0.259, 0.208 | PDLC01743,Cas1c_WP_008519397.1, 2, 2e-09, 0.344, 0.267 | PDLC01743,Cas1c_WP_008519397.1, 3, 34, 0.11, 0.095 | PDLC02064,Cas1a_Cas1a, 1, 2.4e-17, 0.794, 0.805 | PDLC02067,Cas1b_WP_188882336.1, 1, 0.014, 0.34, 0.176 | PDLC02067,Cas1b_WP_188882336.1, 2, 1.8e-08, 0.223, 0.12 | PDLC01741,Cas1_IIIa_WP_000655858.1, 1, 2e-40, 0.734, 0.698 | PDLC01335,cd09722, 1, 4.7e-06, 0.709, 0.673 | PDLC00928,cas1_I_II_III_V_maka, 1, 1.4e-30, 0.73, 0.717 | PDLC01332,cd09719, 1, 0.39, 0.16, 0.169 | PDLC01332,cd09719, 2, 0.012, 0.16, 0.172 | PDLC00927,cas1, 1, 1.9e-24, 0.727, 0.706 | PDLC01742,Cas1b_WP_142933338.1, 1, 5.5, 0.163, 0.138 | PDLC01742,Cas1b_WP_142933338.1, 2, 0.00031, 0.216, 0.187 | PDLC01185,icity0124, 1, 0.0023, 0.23, 0.26 | PDLC01248,cd09634, 1, 1.5e-40, 0.872, 0.903 | PDLC00929,cas1_PREFRAN, 1, 7.1e-12, 0.344, 0.325 | PDLC01334,cd09721, 1, 0.0032, 0.199, 0.164 | PDLC01334,cd09721, 2, 5.9e-10, 0.372, 0.292 | PDLC00926,cas1_NMENI, 1, 1.4e-72, 0.883, 0.924 | PDLC01333,cd09720, 1, 2.2e-74, 0.883, 0.926 | PDLC02065,Cas1b_WP_013704840.1, 1, 7.9, 0.16, 0.134 | PDLC02065,Cas1b_WP_013704840.1, 2, 0.0054, 0.227, 0.195 | PDLC01608,pfam01867, 1, 5.8e-25, 0.727, 0.801 | PDLC00922,cas1_MYXAN, 1, 0.13, 0.34, 0.271 | PDLC00922,cas1_MYXAN, 2, 4.3e-10, 0.227, 0.187 | PDLC02061,Cas1_II_WP_078484493.1, 1, 4.9e-89, 0.961, 0.779 | PDLC00923,cas1_DVULG, 1, 0.0025, 0.199, 0.162 | PDLC00923,cas1_DVULG, 2, 9e-10, 0.372, 0.288 | PDLC00923,cas1_DVULG, 3, 26, 0.113, 0.1 | PDLC01740,Cas1_IIIa_WP_158094482.1, 1, 1.9e-10, 0.723, 0.671 | PDLC00924,cas1_ECOLI, 1, 1.1, 0.156, 0.16 | PDLC00924,cas1_ECOLI, 2, 0.012, 0.16, 0.167","PDLC02061, Cas1_II_WP_078484493.1, 4.9e-89, 0.961, 0.779 | PDLC01333, cd09720, 2.2e-74, 0.883, 0.926 | PDLC00926, cas1_NMENI, 1.4e-72, 0.883, 0.924 | PDLC01248, cd09634, 1.5e-40, 0.872, 0.903 | PDLC01741, Cas1_IIIa_WP_000655858.1, 2e-40, 0.734, 0.698"
17,NZ_CP067088.1,cas_type_other,WP_168183456.1,PDLC01380,cd12218,Csn2,9.199999999999999e-78,1e-77,0.982,0.995,848765,849436,+,-,23,32,"PDLC02127,Csn2_WP_092199373.1, 1, 3.3e-08, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 3.2e-38, 0.982, 0.995 | PDLC01380,cd12218, 1, 1e-77, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1.5e-75, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 0.0021, 0.892, 0.882 | PDLC02132,Csn2_WP_007147955.1, 1, 2.2e-20, 0.969, 0.964 | PDLC01371,cd09758, 1, 5.7e-08, 0.906, 0.904 | PDLC02139,Csn2_WP_057888294.1, 1, 1.4e-07, 0.731, 0.695 | PDLC01257,cd09644, 1, 1.1e-12, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 3.6e-16, 0.982, 0.977 | PDLC02147,Csn2_WP_022791452.1, 1, 1.8e-06, 0.892, 0.887 | PDLC02119,Csn2_WP_115483433.1, 1, 5.7e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 3.1e-44, 0.996, 0.995 | PDLC01180,icity0117, 1, 1.4e-05, 0.888, 0.887 | PDLC01648,pfam09711, 1, 9.6e-08, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 1.2e-09, 0.906, 0.904","PDLC01380, cd12218, 1e-77, 0.982, 0.995 | PDLC02123, Csn2_WP_164905698.1, 1.5e-75, 0.991, 0.995 | PDLC02124, Csn2_WP_017261328.1, 3.1e-44, 0.996, 0.995 | PDLC01023, cas_Csn2, 3.2e-38, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 2.2e-20, 0.969, 0.964"
18,NZ_JAKVPL010000001.1,cas_type_II-A,WP_291977923.1,PDLC02123,Csn2_WP_164905698.1,Csn2,2.6999999999999994e-74,2.9999999999999993e-74,0.991,0.995,1898440,1899111,-,-,17,38,"PDLC02127,Csn2_WP_092199373.1, 1, 2.2e-10, 0.951, 0.956 | PDLC01023,cas_Csn2, 1, 2.4e-40, 0.982, 0.995 | PDLC01380,cd12218, 1, 2e-64, 0.978, 0.991 | PDLC02123,Csn2_WP_164905698.1, 1, 3e-74, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2e-21, 0.955, 0.95 | PDLC01371,cd09758, 1, 1e-04, 0.883, 0.899 | PDLC02139,Csn2_WP_057888294.1, 1, 0.00012, 0.946, 0.94 | PDLC01257,cd09644, 1, 1.5e-13, 0.973, 0.982 | PDLC02141,Csn2_WP_150280658.1, 1, 7.9e-18, 0.951, 0.945 | PDLC02147,Csn2_WP_022791452.1, 1, 4.2e-12, 0.933, 0.923 | PDLC02119,Csn2_WP_115483433.1, 1, 6.5e-16, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 4e-45, 0.991, 0.991 | PDLC01180,icity0117, 1, 1.5e-09, 0.933, 0.928 | PDLC01648,pfam09711, 1, 7.6e-05, 0.561, 0.731 | PDLC02121,Csn2_WP_159082072.1, 1, 6.1e-06, 0.883, 0.899","PDLC02123, Csn2_WP_164905698.1, 3e-74, 0.991, 0.995 | PDLC01380, cd12218, 2e-64, 0.978, 0.991 | PDLC02124, Csn2_WP_017261328.1, 4e-45, 0.991, 0.991 | PDLC01023, cas_Csn2, 2.4e-40, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 2e-21, 0.955, 0.95"
18,NZ_JAKVPL010000001.1,cas_type_II-A,WP_291977924.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,3.1e-44,3.3e-44,0.96,0.686,1899108,1899413,-,-,18,38,"PDLC02071,Cas2_II_WP_086428212.1, 1, 3.9e-29, 0.921, 0.959 | PDLC02073,Cas2_II_WP_029776276.1, 1, 7.6e-24, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 3.3e-44, 0.96, 0.686 | PDLC02072,Cas2_II_WP_038817100.1, 1, 1.5e-31, 0.644, 0.903 | PDLC02069,Cas2_II_WP_178005650.1, 1, 9.8e-31, 0.861, 0.669","PDLC02068, Cas2_II_WP_167337171.1, 3.3e-44, 0.96, 0.686 | PDLC02072, Cas2_II_WP_038817100.1, 1.5e-31, 0.644, 0.903 | PDLC02069, Cas2_II_WP_178005650.1, 9.8e-31, 0.861, 0.669 | PDLC02071, Cas2_II_WP_086428212.1, 3.9e-29, 0.921, 0.959 | PDLC02073, Cas2_II_WP_029776276.1, 7.6e-24, 0.416, 0.857"
18,NZ_JAKVPL010000001.1,cas_type_II-A,WP_291977925.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,8.599999999999998e-106,9.399999999999998e-106,0.974,0.842,1899391,1900299,-,-,19,38,"PDLC02062,Cas1_II_WP_122951193.1, 1, 8e-22, 0.768, 0.811 | PDLC02061,Cas1_II_WP_078484493.1, 1, 9.4e-106, 0.974, 0.842","PDLC02061, Cas1_II_WP_078484493.1, 9.4e-106, 0.974, 0.842 | PDLC02062, Cas1_II_WP_122951193.1, 8e-22, 0.768, 0.811"
18,NZ_JAKVPL010000001.1,cas_type_II-A,WP_291977926.1,PDLC01580,mkCas0193,Cas9,0,0,0.996,0.998,1900499,1904617,-,-,20,38,"PDLC00975,cas9_maka_4_II, 1, 1e-123, 0.842, 0.842 | PDLC01460,COG3513, 1, 2.6e-140, 0.827, 0.839 | PDLC01580,mkCas0193, 1, 0, 0.996, 0.998 | PDLC00973,cas_Csn1, 1, 4.2e-176, 0.743, 0.984 | PDLC01256,cd09643, 1, 1.2e-165, 0.743, 0.983","PDLC01580, mkCas0193, 0, 0.996, 0.998 | PDLC00973, cas_Csn1, 4.2e-176, 0.743, 0.984 | PDLC01256, cd09643, 1.2e-165, 0.743, 0.983 | PDLC01460, COG3513, 2.6e-140, 0.827, 0.839 | PDLC00975, cas9_maka_4_II, 1e-123, 0.842, 0.842"
