id,target_prot,seqid,fam_cluster,padloc_system,padloc_gene,deffinder_system,deffinder_gene,start,end,rel_start,rel_end,strand,flip_strand,product,locus_tag,assembly_accession,species_taxid,kingdom,phylum,class,order,family,genus,species,linecolor,fillcolor
WP_283574299.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,141183,141686,22101,22604,+,-,VTT domain-containing protein,QOR70_RS04695,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_019205517.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,141987,142829,20958,21800,-,+,SPFH domain-containing protein,QOR70_RS04700,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574300.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,142847,144349,19438,20940,-,+,glycerol kinase GlpK,QOR70_RS04705,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_040469856.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,144410,144595,19192,19377,-,+,2-hydroxymuconate tautomerase,QOR70_RS04710,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_019205520.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,144740,146569,17218,19047,-,+,cation:proton antiporter,QOR70_RS04715,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574301.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,146774,148189,15598,17013,+,-,C69 family dipeptidase,QOR70_RS04720,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574329.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,148261,149148,14639,15526,-,+,alpha/beta hydrolase,QOR70_RS04725,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574302.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,149160,150461,13326,14627,-,+,PTS transporter subunit EIIC,QOR70_RS04730,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_019205524.1,WP_283574311.1,NZ_CANCVZ010000004.1,33,,,,,150575,150844,12943,13212,-,+,30S ribosomal protein S14,QOR70_RS04735,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[107.04486951414023, 106.28717264221196, 78.5140934578133, 255]","[214.08973902828046, 212.5743452844239, 157.0281869156266, 255]"
WP_283574330.1,WP_283574311.1,NZ_CANCVZ010000004.1,58,,,,,150960,151805,11982,12827,-,+,metallophosphoesterase family protein,QOR70_RS04740,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[50.313518906964326, 15.148283770411044, 89.75771333074887, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_283574303.1,WP_283574311.1,NZ_CANCVZ010000004.1,32,,,,,151932,153158,10629,11855,+,-,MFS transporter,QOR70_RS04745,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[98.2947127096455, 36.77689093569376, 29.322333998038154, 255]","[196.589425419291, 73.55378187138751, 58.64466799607631, 255]"
WP_283574304.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,153554,153703,10084,10233,-,+,hypothetical protein,QOR70_RS04750,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574305.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,153779,154072,9715,10008,-,+,hypothetical protein,QOR70_RS04755,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574306.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,154145,154333,9454,9642,-,+,hypothetical protein,QOR70_RS04760,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574307.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,155457,155612,8175,8330,+,-,hypothetical protein,QOR70_RS04765,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574308.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,155883,156155,7632,7904,-,+,helix-turn-helix transcriptional regulator,QOR70_RS04770,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574309.1,WP_283574311.1,NZ_CANCVZ010000004.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,157602,158273,5514,6185,-,+,type II-A CRISPR-associated protein Csn2,QOR70_RS04775,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_283574331.1,WP_283574311.1,NZ_CANCVZ010000004.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,158270,158575,5212,5517,-,+,CRISPR-associated endonuclease Cas2,QOR70_RS04780,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_283574310.1,WP_283574311.1,NZ_CANCVZ010000004.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,158553,159458,4329,5234,-,+,type II CRISPR-associated endonuclease Cas1,QOR70_RS04785,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_283574311.1,WP_283574311.1,NZ_CANCVZ010000004.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,159660,163787,0,4127,-,+,type II CRISPR RNA-guided endonuclease Cas9,QOR70_RS04790,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_283574312.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,164308,164613,-826,-521,-,+,hypothetical protein,QOR70_RS04795,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574313.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,164701,165552,-1765,-914,-,+,dTDP-4-dehydrorhamnose reductase,QOR70_RS04800,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574314.1,WP_283574311.1,NZ_CANCVZ010000004.1,,cbass_type_IIs,Effector,CBASS_II,CBASS,167036,167920,-4133,-3249,-,+,hypothetical protein,QOR70_RS04815,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574315.1,WP_283574311.1,NZ_CANCVZ010000004.1,,cbass_type_IIs,E2,CBASS_II,CBASS,167920,168333,-4546,-4133,-,+,hypothetical protein,QOR70_RS04820,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574316.1,WP_283574311.1,NZ_CANCVZ010000004.1,,cbass_type_IIs,Cyclase,CBASS_II,CBASS,168335,169441,-5654,-4548,-,+,nucleotidyltransferase,QOR70_RS04825,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574317.1,WP_283574311.1,NZ_CANCVZ010000004.1,,ietAS,IetS,,,169459,171690,-7903,-5672,-,+,S8 family peptidase,QOR70_RS04830,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574318.1,WP_283574311.1,NZ_CANCVZ010000004.1,,ietAS,IetA,,,171687,172736,-8949,-7900,-,+,AAA family ATPase,QOR70_RS04835,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574319.1,WP_283574311.1,NZ_CANCVZ010000004.1,,PDC-S16,PDC-S16,,,172995,173234,-9447,-9208,+,-,DUF2188 domain-containing protein,QOR70_RS04840,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_283574321.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,173252,173479,-9692,-9465,+,-,hypothetical protein,QOR70_RS04845,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574322.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,174036,175088,-11301,-10249,-,+,NAD(P)-dependent oxidoreductase,QOR70_RS04850,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574323.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,175261,176142,-12355,-11474,-,+,UTP--glucose-1-phosphate uridylyltransferase GalU,QOR70_RS04855,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_283574324.1,WP_283574311.1,NZ_CANCVZ010000004.1,,,,,,176146,177159,-13372,-12359,-,+,acyltransferase,QOR70_RS04860,GCF_947381665.1,148604,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533067.1,WP_065533057.1,NZ_CP065318.1,,,,,,1861056,1862087,-19430,-18399,+,+,phosphate acyltransferase PlsX,I5Q80_RS09020,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003663823.1,WP_065533057.1,NZ_CP065318.1,44,,,,,1862124,1862378,-18362,-18108,+,+,acyl carrier protein,I5Q80_RS09025,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[96.93585916541873, 115.24492694256782, 87.36933998380556, 255]","[193.87171833083747, 230.48985388513563, 174.73867996761112, 255]"
WP_003663822.1,WP_065533057.1,NZ_CP065318.1,,,,,,1862556,1863257,-17930,-17229,+,+,ribonuclease III,I5Q80_RS09030,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533066.1,WP_065533057.1,NZ_CP065318.1,,,,,,1863274,1866837,-17212,-13649,+,+,chromosome segregation protein SMC,I5Q80_RS09035,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533065.1,WP_065533057.1,NZ_CP065318.1,,,,,,1866860,1868386,-13626,-12100,+,+,signal recognition particle-docking protein FtsY,I5Q80_RS09040,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003663818.1,WP_065533057.1,NZ_CP065318.1,,,,,,1868401,1868742,-12085,-11744,+,+,putative DNA-binding protein,I5Q80_RS09045,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_019253981.1,WP_065533057.1,NZ_CP065318.1,,,,,,1868744,1870189,-11742,-10297,+,+,signal recognition particle protein,I5Q80_RS09050,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003663816.1,WP_065533057.1,NZ_CP065318.1,,,,,,1870288,1870563,-10198,-9923,+,+,30S ribosomal protein S16,I5Q80_RS09055,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003668367.1,WP_065533057.1,NZ_CP065318.1,,,,,,1870576,1870836,-9910,-9650,+,+,KH domain-containing protein,I5Q80_RS09060,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003663814.1,WP_065533057.1,NZ_CP065318.1,,,,,,1870891,1871397,-9595,-9089,+,+,ribosome maturation factor RimM,I5Q80_RS09065,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003663813.1,WP_065533057.1,NZ_CP065318.1,,,,,,1871397,1872155,-9089,-8331,+,+,tRNA (guanosine(37)-N1)-methyltransferase TrmD,I5Q80_RS09070,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003668364.1,WP_065533057.1,NZ_CP065318.1,,,,,,1872166,1873596,-8320,-6890,+,+,amino acid permease,I5Q80_RS09075,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003675625.1,WP_065533057.1,NZ_CP065318.1,,,,,,1873719,1874078,-6767,-6408,+,+,50S ribosomal protein L19,I5Q80_RS09080,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533064.1,WP_065533057.1,NZ_CP065318.1,,,,,,1874194,1875324,-6292,-5162,-,-,site-specific integrase,I5Q80_RS09085,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533063.1,WP_065533057.1,NZ_CP065318.1,,,,,,1875327,1875644,-5159,-4842,-,-,hypothetical protein,I5Q80_RS09090,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533062.1,WP_065533057.1,NZ_CP065318.1,,,,,,1875792,1876445,-4694,-4041,-,-,hypothetical protein,I5Q80_RS09095,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_225432685.1,WP_065533057.1,NZ_CP065318.1,,,,,,1876472,1877059,-4014,-3427,-,-,hypothetical protein,I5Q80_RS10020,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533061.1,WP_065533057.1,NZ_CP065318.1,,,,,,1877074,1877568,-3412,-2918,-,-,hypothetical protein,I5Q80_RS09105,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533060.1,WP_065533057.1,NZ_CP065318.1,,,,,,1878230,1878454,-2256,-2032,-,-,hypothetical protein,I5Q80_RS09110,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533059.1,WP_065533057.1,NZ_CP065318.1,,,,,,1878604,1878936,-1882,-1550,+,+,MazG-like family protein,I5Q80_RS09115,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003671552.1,WP_065533057.1,NZ_CP065318.1,,,,,,1878939,1879766,-1547,-720,+,+,exodeoxyribonuclease III,I5Q80_RS09120,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533058.1,WP_065533057.1,NZ_CP065318.1,59,,,,,1879818,1880297,-668,-189,-,-,hypothetical protein,I5Q80_RS09125,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[103.40785518868898, 53.66193329596799, 40.50121437534954, 255]","[206.81571037737797, 107.32386659193598, 81.00242875069908, 255]"
WP_065533057.1,WP_065533057.1,NZ_CP065318.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,1880486,1884634,0,4148,+,+,type II CRISPR RNA-guided endonuclease Cas9,I5Q80_RS09130,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_019253826.1,WP_065533057.1,NZ_CP065318.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,1884848,1885756,4362,5270,+,+,type II CRISPR-associated endonuclease Cas1,I5Q80_RS09135,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_019253825.1,WP_065533057.1,NZ_CP065318.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,1885734,1886039,5248,5553,+,+,CRISPR-associated endonuclease Cas2,I5Q80_RS09140,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_019253824.1,WP_065533057.1,NZ_CP065318.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,1886036,1886707,5550,6221,+,+,type II-A CRISPR-associated protein Csn2,I5Q80_RS09145,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_019253823.1,WP_065533057.1,NZ_CP065318.1,5,cas_type_V,Cas12f,,,1887408,1888571,6922,8085,+,+,RNA-guided endonuclease TnpB family protein,I5Q80_RS09150,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[0, 0, 0, 255]","[88.84637950399778, 196.32328073391008, 199.1806646844902, 255]"
WP_065533056.1,WP_065533057.1,NZ_CP065318.1,57,,,,,1888722,1889741,8236,9255,+,+,LacI family DNA-binding transcriptional regulator,I5Q80_RS09155,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[113.55458853929483, 96.45516768831553, 70.71994173459358, 255]","[227.10917707858965, 192.91033537663105, 141.43988346918715, 255]"
WP_065533055.1,WP_065533057.1,NZ_CP065318.1,56,,,,,1889900,1891822,9414,11336,+,+,PTS sugar transporter subunit IIA,I5Q80_RS09160,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[104.55244780639748, 57.436537618049805, 43.03462603244576, 255]","[209.10489561279496, 114.87307523609961, 86.06925206489151, 255]"
WP_065533054.1,WP_065533057.1,NZ_CP065318.1,,,,,,1891832,1893844,11346,13358,+,+,beta-galactosidase,I5Q80_RS09165,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_065533053.1,WP_065533057.1,NZ_CP065318.1,,,,,,1894000,1896741,13514,16255,+,+,PT domain-containing protein,I5Q80_RS09170,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_003665700.1,WP_065533057.1,NZ_CP065318.1,54,,,,,1896810,1897790,16324,17304,-,-,polyprenyl synthetase family protein,I5Q80_RS09175,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[98.0739930492313, 114.55660263628313, 86.53823126538995, 255]","[196.1479860984626, 229.11320527256626, 173.0764625307799, 255]"
WP_035153225.1,WP_065533057.1,NZ_CP065318.1,53,,,,,1897871,1898770,17385,18284,+,+,prenyltransferase,I5Q80_RS09180,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[39.86660457515328, 94.0267515175557, 99.15479154803802, 255]","[79.73320915030656, 188.0535030351114, 198.30958309607604, 255]"
WP_019253816.1,WP_065533057.1,NZ_CP065318.1,52,,,,,1898813,1899514,18327,19028,-,-,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,I5Q80_RS09185,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[103.49992569223029, 110.20463266612958, 82.02056923228906, 255]","[206.99985138446058, 220.40926533225917, 164.04113846457813, 255]"
WP_020843140.1,WP_065533057.1,NZ_CP065318.1,32,,,,,1899535,1900770,19049,20284,-,-,MFS transporter,I5Q80_RS09190,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[98.2947127096455, 36.77689093569376, 29.322333998038154, 255]","[196.589425419291, 73.55378187138751, 58.64466799607631, 255]"
WP_065533052.1,WP_065533057.1,NZ_CP065318.1,58,,,,,1900889,1901767,20403,21281,+,+,metallophosphoesterase family protein,I5Q80_RS09195,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[50.313518906964326, 15.148283770411044, 89.75771333074887, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_003665705.1,WP_065533057.1,NZ_CP065318.1,33,,,,,1901913,1902182,21427,21696,+,+,30S ribosomal protein S14,I5Q80_RS09200,GCF_016697045.1,1598,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,"[107.04486951414023, 106.28717264221196, 78.5140934578133, 255]","[214.08973902828046, 212.5743452844239, 157.0281869156266, 255]"
